C,o,m,p,a,n,i,e,s
Capital on Tap,Capital on Tap is a Fintech SME lender and payments company.,Internet Software & Services,United Kingdom,$317.10M,2012,08/02/2021,Line of Credit,$100.00M
Scout Exchange,Scout is a cloud-based recruitment platform that manages connecting employers and search firms in a marketplace that is integrated into a user's existing applicant tracking system.,Internet Software & Services,United States,$100.00M,,03/12/2018,Unattributed VC,$100.00M
Balance Credit,"Balance Credit (SunUp Financial) offers unsecured, personal installment loans and credit services to customers in need of a fast and convenient source of additional cash. Using advanced analytics and proprietary technology, the company helps customers across the credit spectrum gain access to loans currently from $100 up to $3,000 and with terms up to 24 months. The company is licensed and regulated in each U.S. state where it operates.",Internet Software & Services,United States,$100.00M,,10/07/2015,Line of Credit,$100.00M
Elevate Credit,"Elevate Credit (NYSE: ELVT) is a provider of online credit solutions to consumers in the United States and the United Kingdom who are not well-served by traditional bank products and who are looking for better options than payday loans, title loans, pawn and storefront installment loans.",Internet Software & Services,United States,$185.00M,2014,07/26/2016,Line of Credit - II,$100.00M
Babylon Health,"Babylon Health develops Babylon, a digital healthcare application that enables users to talk to a doctor or GP within minutes and get medical advice via video consultations, phone calls, or text messages.",Mobile Software & Services,United Kingdom,$735.00M,2013,12/17/2020,Convertible Note,$100.00M
Evolent Health,"Evolent Health (NYSE:EVH) partners with health systems to drive value-based care transformation. By providing clinical, analytical and financial capabilities, Evolent helps physicians and systems achieve superior quality and cost results. The Company's approach breaks down barriers, aligns incentives and powers a new model of care delivery resulting in meaningful alignment between providers, payers, physicians and patients.",Healthcare Software,United States,$128.00M,2011,09/30/2013,Series B,$100.00M
Dude Solutions,"Dude Solutions, parent company of SchoolDude and FacilityDude, is a cloud-based software-as-a-service (SaaS) provider of operations management solutions to education, healthcare, government, clubs and other commercial industries.",Internet Software & Services,United States,$100.00M,1999,02/03/2014,Private Equity,$100.00M
BorrowersFirst,"BorrowersFirst is a national online consumer lending platform that provides borrowers with an alternative to traditional financing sources. BorrowersFirst provides fast, easy access to personal loans on transparent terms, friendly service, and engaging financial advice wrapped in a compelling brand that matches borrowers with institutional lenders to promote Connected Credit. BorrowersFirst provides loans to a wide spectrum of borrowers, while meeting the varying investment profiles of its institutional lending partners, by mixing whole loan sales with on balance sheet funding.",Internet Software & Services,United States,$100.00M,,01/18/2017,Debt,$100.00M
Wunder Capital,"Wunder connects vetted solar projects to a growing network of accredited capital sources. By standardizing and automating the financing process, Wunder enables the business or non-profit to lower their energy bill, solar installers to increase revenue, and investors to earn a compelling return. Wunder has partnered with leading commercial installers to surface the highest-quality projects.",eCommerce,United States,$216.48M,2014,07/14/2020,Loan,$100.00M
Menlo Security,"Menlo Security protects organizations from cyber attack by eliminating the threat of malware. Menlo Security's Isolation Platform isolates all Web content in the cloud, enabling users to safely interact with websites, links and documents online without compromising security. Its Adaptive Clientless Rendering (ACR) technology deploys within minutes and can scale to provide comprehensive protection across organizations of any size without impacting the user experience.",Internet Software & Services,United States,$250.50M,2013,11/12/2020,Series E,$100.00M
Newfront Insurance,"Newfront Insurance is a modern commercial insurance brokerage. It combines brokers with time-saving technology to simplify insurance. Its brokers work alongside domain experts to deliver customized services. Its online application, customer portal, benchmarking, claims management, centralized billing, and certificate automation eliminates hassle.",Internet Software & Services,United States,$100.03M,2017,10/20/2020,Series C,$100.00M
Manticore Games,Manticore Games develops multiplayer PC and console games and services.,Internet Software & Services,United States,$161.50M,2016,03/31/2021,Series C,$100.00M
Nozomi Networks,"Nozomi Networks delivers OT visibility, threat detection, and insight to critical infrastructure, energy, manufacturing, mining, transportation, and other industrial sites around the world. Nozomi Networks' solution builds an internal model of the industrial network and physical process and uses behavioral analytics and continuous monitoring to detect changes to baseline states. The result is real-time insight into ICS networks, devices, and process statuses, identifying and enabling fast remediation of cyberattacks and process anomalies.",IT Services,United States,$152.50M,2013,08/02/2021,Series D,$100.00M
Bungie Software,"Bungie (founded as Bungie Software Products Corporation) is an American video game developer currently located in Bellevue, Washington, USA. Microsoft acquired Bungie in 2000, and their then-current project, the first-person shooter Halo: Combat Evolved, was repurposed into a launch title for Microsoft's new Xbox console. On October 5, 2007, Bungie announced that it had split with Microsoft and become a privately held independent company, Bungie LLC. In 2010, the company signed a ten-year publishing deal with Activision Blizzard.",Gaming,United States,$100.00M,1991,06/01/2018,Corporate Minority,$100.00M
Rec Room,"Rec Room is an online and gaming platform that creates games and plays with friends. The company offers virtual reality, computer games, multi-player games, cross-platform games, computer software, mobile games, PlayStation, iOS, game design, user-generated content, social games, and social gaming solutions.",Internet Software & Services,United States,$149.82M,2016,03/23/2021,Series D,$100.00M
Allied Wallet,"Allied Wallet specializes in online credit card processing / payment processing, multi-currency merchant services, digital eWallet solutions, software development, and is a provider of a PCI Level 1 payment gateway. Allied Wallet introduces payment processing solutions for online merchants, enabling them to send and receive international payments. With PCI compliant merchant services for nearly any business size, Allied Wallet provides a payment gateway to optimize online transactions for any company.",Internet Software & Services,United Kingdom,$100.00M,2002,06/24/2016,Corporate Minority,$100.00M
FarEye,"FarEye is a machine-learning-based predictive logistics platform for businesses to execute, track, collaborate, predict and optimize the movement of goods. The platform empowers companies with efficiency and operational intelligence to achieve growth, happier customers and higher margins.",Internet Software & Services,India,$150.90M,2013,05/25/2021,Series E,$100.00M
Domino Data Lab,"Domino is a workbench that accelerates the entire analytical lifecycle, from early exploratory work all the way to deploying your models, allowing users to track and share work along the way. It works alongside the tools and languages already used, including R, Python, Julia and more.",Internet Software & Services,United States,$223.60M,2013,10/05/2021,Series F,$100.00M
BeiBei,"BeiBei is a China-based e-commerce platform offering local children's brands covering clothes, accessories, toys and more, including Disney, Barbie, and Hello Kitty.",eCommerce,China,$224.40M,2011,06/17/2016,Series D,$100.00M
Emergn,"Emergn is a global insurance core system software provider, with independent research and development of insurance core system capabilities, and is committed to empowering insurance companies to become insurance technology companies.",Financial Services Software,United States,$100.00M,1999,07/14/2021,Unattributed VC,$100.00M
AspenTech,"AspenTech (NASDAQ: AZPN) supplies software and services that optimize process manufacturing - for energy, chemicals, pharmaceuticals, engineering, and construction, and other industries that manufacture and produce products from a chemical process. With integrated aspenONE solutions, process manufacturers can implement best practices for optimizing their engineering, manufacturing, and supply chain operations. As a result, AspenTech customers are better able to increase capacity, improve margins, reduce costs, and become more energy efficient.","Scientific, Engineering Software",United States,$210.00M,1981,08/22/2003,Unattributed VC - III,$100.00M
Castlight Health,"Castlight Health, formerly Maria Health, provides a health care management suite designed to help employers make reliable cost and quality data for medical services available to employees via the Web or mobile devices. Castlight is a new category of cloud-based software that enables enterprises to gain control over their rapidly escalating health care costs. The company's Enterprise Healthcare Cloud allows customers to conquer the complexity of the existing health care system by providing personalized information to their employees, implementing technology-enabled benefit designs and integrating disparate systems and applications.",Internet Software & Services,United States,$178.06M,2008,05/01/2012,Series D,$100.00M
ON Semiconductor,"ON Semiconductor Corporation manufactures and sells semiconductor components for various electronic devices worldwide. The company operates in three segments: Power Solutions Group, Analog Solutions Group, and Intelligent Sensing Group.",Chips & Semiconductors,United States,$100.00M,1999,09/21/2001,Unattributed VC,$100.00M
Wal-Mart.com USA,"Wal-Mart.com USA was an Internet/eCommerce company based in Brisbane, California. Wal-Mart.com USA was acquired in 2001.",eCommerce,United States,$100.00M,2000,01/07/2000,Unattributed VC,$100.00M
Pantheon Systems,"Pantheon is a website operations platform for Drupal and WordPress. The company's container-based cloud platform enables website teams to build, launch, and run all of their websites from a single dashboard with ease. Developers, Marketers and IT can instantly scale in response to unplanned traffic spikes, deploy new website features, and collaborate with team-mates without ever touching a VM or server cluster.",Internet Software & Services,United States,$196.80M,2010,07/13/2021,Series E,$100.00M
Yunxi Technology,"Yunxi Technology is an intelligent digital service provider. Based on big data and cloud technology, it provides network construction and cloud application services for enterprises.",IT Services,China,$178.94M,2016,10/15/2021,Series D,$100.00M
Insieme Networks,Insieme is an early-stage company focused on research and development in the datacenter market.,Computer Storage & Peripherals,United States,$100.00M,,04/19/2012,Corporate Minority,$100.00M
Amagi Media Labs,"Amagi Media Labs offers cloud-based SaaS technology for broadcast and connected TV. It enables content owners to launch, distribute, and monetize live linear channels on connected TV and SVOD platforms. It also offers 24x7 cloud-managed services bringing simplicity, advanced automation, and transparency to the entire broadcast operations for traditional TV networks.",Internet Software & Services,India,$159.69M,2008,09/10/2021,Series E,$100.00M
Mutuo Financiera,Mutuo Financiera is a credit platform that creates structured financial products for the supply chain through artificial intelligence.,Internet Software & Services,Mexico,$100.00M,,08/14/2019,Line of Credit,$100.00M
Tulip,"Tulip develops the Manufacturing App Platform, which brings the power of industrial IoT and analytics to the front-line engineer and operator on the shop floor through self-service apps, allowing them to create digital manufacturing apps that integrate operator, sensor, and machine data; connect tools, machines, sensors, and backend IT systems with industrial IoT; and analyze and visualize production with real-time analytics to implement changes and continuously improve.","Manufacturing, Warehousing & Industrial Software",United States,$152.90M,2014,08/10/2021,Series C,$100.00M
Photonic Capital,"Photonic Capital, together with its technology and specialized manufacturing division Photonic Laboratories, provides unique lighting solutions to commercial and industrial clients. Photonic Labs focuses on developing customized LED lighting systems for clients and offers LED solutions on both a purchase and lease basis.",Electronic Components,United States,$100.00M,,09/08/2016,Debt,$100.00M
Fresha,"Fresha operates a booking platform for the beauty and wellness industry that streamlines small- and medium-sized business operations with intuitive, free-to-use software. Shedul.com takes the hassle out of running a business by managing appointment bookings, point-of-sale, customer records, human resources, inventory, and financial reporting.",Internet Software & Services,United Kingdom,$131.00M,2015,06/11/2021,Series C,$100.00M
Poynt,"Poynt is a connected commerce platform that offers an open operating system that can power any smart payment terminal worldwide. The company offers a device that accepts magnetic stripe, EMV (also known as chip cards), NFC, Bluetooth and QR code payment technologies.On December 15th, 2020, Poynt was acquired by GoDaddy at a valuation of $320M.",Specialty Computer Hardware,United States,$128.00M,2014,11/13/2018,Series C,$100.00M
Jane Technologies,"Jane Technologies is a retail software company that develops an online cannabis marketplace. The company's platform allows users to browse local products in real-time, compare by price, proximity, or popularity and place orders at local stores for free.",eCommerce,United States,$128.50M,2016,08/25/2021,Series C,$100.00M
OANDA Corporation,"OANDA Corporation provides online foreign exchange, currency trading and information Internet Services to forex traders, businesses and travelers.",Internet Software & Services,United States,$117.00M,1995,09/05/2007,Series B,$100.00M
Lark Health,"Lark Health is a virtual chronic disease management and prevention platform. Lark helps people stay healthy and in control of their conditions, such as Diabetes, Prediabetes, Cardiovascular Disease, and Anxiety from the comfort of their homes.",Mobile Software & Services,United States,$254.22M,2011,09/07/2021,Series D,$100.00M
NEIWAI,"NEIWAI is an online women's underwear and lingerie brand. The company also offers undershirts, camisoles, leggings, pajamas, bathrobes, jackets, and sportswear for both men and women.",eCommerce,China,$142.90M,2012,07/15/2021,Series D,$100.00M
Mindstrong,"Mindstrong is a provider of solutions for the diagnosis and treatment of neuropsychiatric disorders through the power of AI and ubiquitous mobile technology. The platform delivers real-time, continuous digital biomarkers of mood and cognition, including measures of processing speed, attention, memory, and executive function.",Internet Software & Services,United States,$160.00M,2014,05/21/2020,Series C,$100.00M
Assent Compliance,"Assent Compliance enables companies to manage and streamline their supply chain and product compliance efforts to ensure their products meet the standards of various market access regulations. The company provides an all-in-one compliance automation platform for organizations required to comply with a variety of product stewardship, materials management, and ethical sourcing regulations.",Internet Software & Services,Canada,$151.64M,2005,10/23/2018,Series C,$100.00M
iLOTTE,"PT Indo Lotte Makmur, dba iLOTTE, provides an online mall that hosts global brands such as Clarins, Shiseido, Audi, Volkswagen, JBL, Canon, Nike, and LEGO.",eCommerce,Indonesia,$100.00M,,10/11/2017,Corporate Minority,$100.00M
UShopal,"UShopal is an operational platform that helps featured brands expand their business at the same time online and in retail. It offers e-commerce and omnichannel sales operation services for brands that have a story to tell, leveraging retail experience, proprietary resources in content and influencer marketing, and access to top e-commerce and content platforms.",eCommerce,China,$144.77M,,03/08/2021,Series D,$100.00M
Indigo Ag,"Indigo Ag is developing microbial solutions to naturally promote plant health and improve agricultural production by harnessing the beneficial microbes that reside within plants. Indigo is developing products that form partnerships with crops to naturally protect plant health and promote yield. Indigo has built a platform for product discovery and generated a large pipeline of candidates in globally important crops, including corn, soy, wheat, cotton, and vegetables.",Crop Production,United States,"$1,176.50M",2014,08/03/2020,Convertible Note - II,$100.00M
SES,SES aims to improve the safety and energy density of rechargeable lithium batteries. The company's battery technology is intended to help speed up the deployment of electric vehicles and be part of the oil drilling industry.,Electrical Product Distribution,United States,$326.46M,2012,07/06/2021,Corporate Minority,$100.00M
Zola,"Zola is a wedding registry app offering a way for modern couples to register for homewares, kitchen equipment, furniture, food, bicycles, experiences, honeymoon funds and cash funds.",eCommerce,United States,$140.85M,2013,05/03/2018,Series D,$100.00M
Tasktop,"Tasktop transforms the productivity of software delivery by connecting the development, testing, Agile planning, PMO, and operations functions into a unified software development and delivery team. Tasktop customers, which include global professionals in financial services, insurance, government, and manufacturing, rely on the company's independent, vendor-neutral role to connect their customers' software delivery disciplines via OEM distributions of its products.",IT Services,Canada,$130.55M,2007,04/08/2021,Series D,$100.00M
Twelve Entrepreneuring,"Twelve Entrepreneuring is a company based in San Francisco, California. Twelve Entrepreneuring's investors include Metalmark Capital, Merrill Lynch, Benchmark Capital, Blue Ridge Capital, Attractor Investment Management, Goldman Sachs, Epoch Partners, Essex Investment Management Company, JGE Capital Management, CNET Networks and Gryphon.",Internet Software & Services,United States,$100.00M,2000,07/10/2000,Unattributed VC,$100.00M
Castlight Health,"Castlight Health, formerly Maria Health, provides a health care management suite designed to help employers make reliable cost and quality data for medical services available to employees via the Web or mobile devices. Castlight is a new category of cloud-based software that enables enterprises to gain control over their rapidly escalating health care costs. The company's Enterprise Healthcare Cloud allows customers to conquer the complexity of the existing health care system by providing personalized information to their employees, implementing technology-enabled benefit designs and integrating disparate systems and applications.",Internet Software & Services,United States,$178.06M,2008,05/01/2012,Series D,$100.00M
ON Semiconductor,"ON Semiconductor Corporation manufactures and sells semiconductor components for various electronic devices worldwide. The company operates in three segments: Power Solutions Group, Analog Solutions Group, and Intelligent Sensing Group.",Chips & Semiconductors,United States,$111.50M,2013,06/18/2015,Debt,$100.00M
Raindance Communications,"Raindance Communications was a Internet/Internet Software & Services company based in Louisville, Colorado.",Internet Software & Services,United States,$110.50M,1997,12/22/1999,Unattributed VC - II,$100.00M
Reimagine,Reimagine Holdings Group engages in data creation for business intelligence and acquires and invests in growing consumer insights and marketing services companies.,"Business Intelligence, Analytics & Performance Mgmt Software",United States,$100.00M,2011,09/20/2016,Private Equity,$100.00M
Zoom Video Communications,"Zoom Video Communications provides a video communications platform. The company seeks to connect people through video, voice, chat and content sharing and enable face-to-face video experiences for thousands of people in a single meeting across disparate devices and locations.",Internet Software & Services,United States,$142.50M,2011,01/17/2017,Series D,$100.00M
Interactive Search Holdings,"Interactive Search Holdings is a Internet/Internet Software & Services company based in Irvington, New York. Interactive Search Holdings' investors include Bain Capital, Providence Equity Partners, TowerBrook Capital Partners, Thomas Weisel Partners LLC, Barnard & Co., Goldman Sachs, JP Morgan Chase & Co and Primus.",Internet Software & Services,United States,$100.00M,1999,02/14/2000,Unattributed VC,$100.00M
Tilson Technology Management,"Tilson Technology Management is an independent information technology project management company located in Portland, Maine. The company manages technology projects that are in distress or that require technical expertise or resources our customers don't have in-house. The company provides a wide range of information technology services, including: IT Project Management; Information Security Consulting; Software Development; Wireless site acquisition and construction management; and Telecommunications Project Management.",IT Services,United States,$110.90M,1996,04/12/2019,Series E,$100.00M
Albert,"Albert provides financial advice for free. Albert connects to all user accounts, provides real-life recommendations-like repaying credit card debt with a low-interest loan, getting renter's insurance, or setting up the right retirement plan-and lets users take action directly from the app.",Internet Software & Services,United States,$170.00M,2015,01/26/2021,Series C,$100.00M
Applied Predictive Technologies,"Applied Predictive Technologies (APT) is a purely cloud-based predictive analytics software company. APT's Test & Learn software is revolutionizing the way Global 2000 companies harness their Big Data to accurately measure the profit impact of advertising, marketing, pricing, merchandising, operations and capital initiatives, tailoring investments in these areas to maximize ROI. APT's customer portfolio includes Walmart, Staples, Lowe's, SunTrust, Hilton Hotels, Anheuser-Busch InBev, McDonald's and others. APT has offices in Washington, D.C., San Francisco, London, and Taipei.",Internet Software & Services,United States,$107.00M,1999,06/27/2013,Unattributed,$100.00M
Billie,"Billie offers a B2B invoicing and payments platform for SMEs, large e-commerce players, and transnational marketplaces. The company's two core solutions include a checkout financing solution for B2B online stores, which embeds a financing option in the online checkout process, and SME invoice factoring, which is a fully automated platform that handles all outgoing invoices of SMEs.",Internet Software & Services,Germany,$149.07M,2016,10/22/2021,Series C,$100.00M
Xanadu,Xanadu designs and integrates quantum silicon photonic chips into existing hardware to create full-stack quantum computing.,Supercomputers,Canada,$134.47M,2016,05/25/2021,Series B,$100.00M
Casper,Casper manufactures mattresses and sells them directly to consumers.,eCommerce,United States,$340.05M,2014,03/27/2019,Series D,$100.00M
Open,"Open provides banking services to startups and entrepreneurs. The platform allows users to have regular bank account features, such as payments, balance and transaction list. Additionally, the platform integrates with other business systems to provide everything in one single place. It is commonly referred to as a neo bank.",Internet Software & Services,India,$137.40M,2018,09/10/2021,Series C,$100.00M
Omio,"Omio is a travel search platform that allows customers to compare and combine air, rail and bus transport across Europe. It lets travelers search to and from any location, including towns or villages, showing them possible transport combinations based on price, total travel time and convenience, eliminating the need to visit multiple websites to plan an entire trip.",Internet Software & Services,Germany,$396.00M,2013,08/19/2020,Convertible Note,$100.00M
Q&K International Group,"QingKe is a technology-driven long-term apartment rental platform in China, offering young, emerging urban residents conveniently-located, ready-to-move-in, and affordable branded apartments.",Internet Software & Services,China,$129.04M,2012,04/16/2018,Series C,$100.00M
Onfido,Onfido delivers an AI-based technology with facial biometrics to assess whether a user's government-issued ID is genuine or fraudulent.,Internet Software & Services,United Kingdom,$209.53M,2012,04/15/2020,Series D,$100.00M
Semios,"Semios collects sensory data on every acre in near real-time, helping farmers manage the complex biosystems in orchards to optimize the sustainability and profitability of their crops. Its cloud-based analytics platform ingests highly granular data from over one million IoT sensors in the field, measuring in-canopy microclimate, soil and plant conditions every 10 minutes.",Green/Environmental Software,Canada,$211.34M,2010,09/29/2021,Private Equity - III,$100.00M
MAYKOR,"MAYKOR specializes in servicing of IT equipment, building utility systems, and business applications. MAYKOR Group's mission is to ensure efficient operation and development of the infrastructure of large and medium-sized businesses throughout the entire country. With its own network covering the entire territory of Russia, MAYKOR provides services based on the ""one-stop shopping"" principle. MAYKOR Group has a customer base of over 1000 companies, including some of the largest geographically distributed companies in all industries. MAYKOR Group has a one-of-a-kind competency center, advanced specialty training programs for its technical experts, a well-developed logistics infrastructure, an automated service monitoring and control system, and a quality management system compliant wi...",IT Services,Russian Federation,$100.00M,,08/27/2013,Private Equity,$100.00M
Liepin,"Liepin (HK: 06100) is a Chinese internet recruitment company offering premium job services. The company charges fees to enterprises based on their recruitment needs, required level of service, recruitment time frame, and service content, providing them with professional, customized, and high-end recruitment assistance.",Internet Software & Services,China,$170.00M,2006,06/28/2016,Series D,$100.00M
Adexus,"Adexus is an IT solution development and implementation firm. The company is currently present in Peru, Ecuador, Argentina and Colombia.",IT Services,Chile,$100.00M,,02/04/2019,Private Equity,$100.00M
eDaili,"eDaili is a salesperson crowdsourcing platform for companies that make products in the domains of finance, health, and education.",eCommerce,China,$1.00M,,02/01/2019,Series D,$100.00M
Ladder,"Ladder is a digital life insurance provider. For persons aged 20 to 60, Ladder offers life insurance term coverage ranging from $100,000 to $8 million.",Internet Software & Services,United States,$203.55M,2015,10/04/2021,Series D,$100.00M
quip,quip designs and sells simple oral health products. quip makes electric toothbrushes with a 30-second quadrant timer that are waterproof.,eCommerce,United States,$180.30M,2014,08/31/2021,Series B,$100.00M
Jobcase,"Jobcase focuses on Big Data solutions serving American jobseekers. The company powers different job search sites that are full service, simple-search, niche.",Internet Software & Services,United States,$118.50M,2015,02/27/2019,Series B,$100.00M
Weiyi,Weiyi is a professional work and study platform for Chinese orthopedic surgeons.,Internet Software & Services,China,$100.00M,2013,09/19/2019,Series B,$100.00M
Mel Investment Holdings,"Mel Investment Holdings is a Lake Oswego, OR-based firm operating in stealth.",Stealth Mode,United States,$100.00M,2018,07/20/2018,Unattributed,$100.00M
Bond Street Marketplace,No1 Van is an online platform to provide shared freight vehicle services for city logistics demands in China.,Internet Software & Services,China,$100.00M,,07/15/2015,Series B,$100.00M
Jumeng,Jumeng is an Internet logistics company that provides LTL network operation services.,Internet Software & Services,China,$114.59M,2017,12/30/2020,Series B - II,$100.00M
Mei.com,Mei.com operates an online flash sales business model that focuses on discounted luxury goods.,eCommerce,China,$100.00M,,07/08/2015,Corporate Minority,$100.00M
Jushuitan,"Jushuitan provides SaaS ERP application services, such as ordering, purchasing, after-sales, supply chain, and third-party warehousing services, to e-commerce platforms.",eCommerce,China,$190.75M,2014,06/03/2020,Series C,$100.00M
Interos,"Interos provides a cloud-based eco-system monitoring and assurance platform that helps customers improve their supply chain transparency and risk management by bringing to life their eco-systems. Combining data analytics with research, the Interos platform continuously discovers, analyzes and visualizes the connections, indicators of risk and insights across customers eco-systems.",Internet Software & Services,United States,$125.85M,2005,07/22/2021,Series C,$100.00M
KnuEdge,"KnuEdge is a neural technology company that aims to transform human-machine interaction. The Company is founded by Dan Goldin, the former NASA chief who spent the past five decades delivering aerospace and technology products way ahead of the curve. The company has separate divisions for voice biometrics and data center neural computing -- both of which are delivering industry-changing products in fast-growing, multibillion dollar markets. KnuVerse uniquely leverages the human voice in its military-grade recognition and authentication technology. It is now possible to authenticate to computers, mobile/web apps and IoT devices with only a few words spoken into a microphone, in any language, no matter how many other people are talking nearby. KNUPATH is new neural computing processing...",Chips & Semiconductors,United States,$100.00M,,06/06/2016,Unattributed,$100.00M
Behavox,"Behavox is an enterprise compliance software company that provides employee surveillance solutions. The company's solutions allow senior management and risk and compliance officers to detect cases of market abuse, insider threat, collusion and reckless behavior in real time.",Internet Software & Services,United Kingdom,$121.40M,2014,02/24/2020,Series C,$100.00M
inBloom,"inBloom is a nonprofit organization established to carry forward the mission of the Shared Learning Collaborative, which is to work to make personalized learning a reality for every U.S. student. inBloom provides technology services that allow states and public school districts to better integrate student data and learning applications to support sustainable, cost-effective personalized learning.",Education & Training Software,United States,$100.00M,,06/01/2011,Grant,$100.00M
Newsela,"Newsela unlocks the written word by publishing daily news articles from media sources like the Associated Press, Washington Post, Tribune News Service and Scientific American at five reading levels to engage students in grades 2-12 in high-interest topics from immigration and diplomacy to drones and animal extinction.",Internet Software & Services,United States,$170.72M,2013,02/25/2021,Series D,$100.00M
HoneyBee,"HoneyBee helps employees, regardless of credit history, access an extra week's pay anytime to help manage unplanned expenses and build credit.",Internet Software & Services,United States,$105.83M,2015,09/07/2021,Line of Credit,$100.00M
Within3,"Within3 is a provider of digital collaboration solutions for the health and life sciences markets. By utilizing Within3's technology, clients can efficiently convene and engage with groups of health professionals from around the world.",Internet Software & Services,United States,$100.00M,2008,09/24/2020,Growth Equity,$100.00M
EHSY,EHSY is an MRO industrial products B2B e-commerce platform.,eCommerce,China,$100.00M,,02/06/2019,Series D,$100.00M
Scorpion,"Scorpion is an Internet marketing company that provides website design, search engine optimization (SEO), pay-per-click (PPC) advertising, video advertising, online reputation management, social media services, and other services.",Internet Software & Services,United States,$100.00M,2001,04/14/2021,Private Equity,$100.00M
Gem,"Gem is an all-in-one recruiting platform that integrates with LinkedIn, Gmail, Outlook, and ATS.",Internet Software & Services,United States,$146.00M,2017,09/28/2021,Series C,$100.00M
Loft,Loft is an online real estate marketplace for buying and selling apartments.,eCommerce,Brazil,$788.00M,2018,04/22/2021,Series D - II,$100.00M
ZeroDown,"ZeroDown provides a homeownership solution in the Bay Area. ZeroDown purchases homes for customers, then helps them work toward ownership with monthly payments determined by income.",Internet Software & Services,United States,$140.15M,2018,08/26/2019,Debt,$100.00M
RVshare,RVshare is a peer-to-peer RV rental marketplace.,eCommerce,United States,$164.25M,2013,10/21/2020,Private Equity - II,$100.00M
Deepexi,"Deepexi focuses on the application of big data and AI technology in providing retail, manufacturing and customer marketing services.",Internet Software & Services,China,$254.17M,2018,08/20/2021,Series B,$100.00M
Offchain Labs,"Offchain Labs builds a suite of scaling solutions for Ethereum. This includes Arbitrum Rollup, an EVM-compatible rollup that is currently live on an open, public, and full-featured testnet. Arbitrum Rollup instantly scales Dapps, reducing costs and increasing capacity, without sacrificing on security. Porting contracts to Arbitrum requires no code changes or downloads, as Arbitrum is fully compatible with all existing Ethereum developer tooling.",Gaming,United States,$123.70M,2018,08/31/2021,Series B,$100.00M
Khatabook,Khatabook is a personal accounting platform for managing credit via a digital ledger app that helps small and medium businesses to track its transactions.,Internet Software & Services,India,$186.50M,2018,08/24/2021,Series C,$100.00M
Rossum,"Rossum develops artificial intelligence that understands complex structured documents, enabling companies to capture data from financial documents efficiently and with human-level accuracy.",IT Services,Czech Republic,$104.50M,2017,10/20/2021,Series A,$100.00M
Proxicoin,"Proxicoin is a securities token built on the Ethereum platform which allows fractionalized ownership in film, television, music and other IP-driven content where every day qualified investors can participate in the Hollywood industry in a capacity previously available only to large, elite institutions.",Internet Software & Services,United States,$100.00M,2019,05/23/2019,Series A,$100.00M
Notable,"Notable is a AI platform that automates and structures every physician-patient interaction. It is a voice-driven app built for Apple Watch, which utilizes voice wake features that allow clinicians to complete an encounter. The smart assistant automatically structures conversations, dictations, orders, and recommends the appropriate billing codes.",Mobile Software & Services,United States,$116.75M,2017,11/03/2021,Series B,$100.00M
Hometap,"Hometap offers a home equity investment platform that provides near-immediate access to funds for homeowners to address important financial needs or to pursue future opportunities. In addition, the company offers accredited investors the ability to participate in an asset class with low correlation to the U.S. stock market and hedge against inflation, while allowing homeowners to retain control and responsibility for their homes.",Internet Software & Services,United States,$112.00M,2017,12/11/2019,Series B,$100.00M
StreamElements,StreamElements is a streaming platform that helps live content creators grow and monetize their streams.,Internet Software & Services,Israel,$111.30M,2016,09/22/2021,Series B,$100.00M
No1 Van,No1 Van is an online platform to provide shared freight vehicle services for city logistics demands in China.,Internet Software & Services,China,$100.00M,,06/12/2019,Series C,$100.00M
Bubble,"Bubble is a no-code platform to create interactive, multi-user apps for desktop, and mobile web browsers, including all the features needed to build a site like Facebook or Airbnb.",Internet Software & Services,United States,$106.25M,2012,07/27/2021,Series A,$100.00M
EcoFlow,EcoFlow Tech is a battery startup company that focuses on the development of portable battery products.,Electrical Product Distribution,China,$110.59M,2017,06/10/2021,Series B,$100.00M
OpenSea,"OpenSea operates as a peer-to-peer marketplace for crypto goods, which include non-fungible tokens (NFTs), collectibles, gaming items, and other virtual goods backed by a blockchain. On OpenSea, anyone can buy or sell crypto goods through a smart contract.",eCommerce,United States,$125.12M,2017,07/20/2021,Series B,$100.00M
Fabric,"Fabric offers an online platform providing digital services and solutions for e-commerce websites. The company offers digital consultations, product management services, and performance marketing services for e-commerce companies.",eCommerce,United States,$152.58M,2017,07/20/2021,Series B,$100.00M
SIMON Markets,"SIMON Markets is a financial technology company delivering an intelligent platform for financial advisors to access structured investments and other packaged products. The SIMON platform provides financial advisors with extensive educational content, robust analytics, and lifecycle management tools to help them accomplish their clients' investment objectives.",Internet Software & Services,United States,$100.00M,,07/22/2021,Series B,$100.00M
Stonewise,"Stonewise is a drug development company that uses AI, IoT, and other technologies.",Drug Development,China,$100.00M,2018,04/12/2021,Series B - II,$100.00M
Zhe800,Zhe800 is an online shop that provides discounted goods.,eCommerce,China,$150.00M,2011,03/18/2015,Series C,$100.00M
Agicap,"Agicap offers a cash management and forecasting solution for SMEs. It is building a service that lets users track their cash flow in real-time, build reports, and get forecasts. Agicap allows small and medium-sized businesses to connect their bank accounts to Agicap for real-time monitoring. The company has also developed integrations with accounting software and invoicing tools.",Internet Software & Services,France,$118.97M,2016,05/27/2021,Series B,$100.00M
