Companies,Description,Industry,Country,Total Funding,Founded Year,Latest Funding Data,Latest Funding Round,Latest Funding Amount
Tripwire,"Tripwire makes software that allows IT managers to perform configuration assessment and change auditing, and address regulatory and security-compliance issues. Tripwire is a provider of advanced threat, security and compliance solutions.",Compliance,United States,$80.00M,1997,01/06/2011,Debt,$25.00M
HomeAway,HomeAway is an online vacation-home rental site. The company has grown largely through its rolling up of 10 other online vacation rental sites.,eCommerce,United States,$495.50M,2005,10/15/2010,Series E,$25.00M
Siperian,"Siperian offers enterprise software for customer data integration and management. Leveraging what it calls its hybrid, neutral approach, Siperian Hub aims to enable IT teams to build and manage the most trustworthy customer data hub to deliver unified, accurate customer views across disparate data sources, applications and channels to different business users in a timely fashion. These unified customer views can be integrated with business processes in multiple modes (real-time or batch) and delivered to both operational and analytical systems.",Application & Data Integration Software,United States,$53.50M,2000,01/15/2008,Series E,$25.00M
Wetpaint,"Wetpaint is creating a web environment enabling large numbers of users to publish websites and web content of interest to them and others interested in those topics, creating a community of topical websites of relevant content. The Wetpaint software platform significantly lowers the barriers to content creation and collaboration, delivering a publishing platform with significantly reduced content development costs. Through a combination of seeded wiki sites (pro-actively authored and promoted) targeting a carefully selected range of high interest/relevance topics, along with wider spread self-published topics by end users, Wetpaint has the potential to create a significant advertising-based business.",Internet Software & Services,United States,$39.70M,2005,05/20/2008,Series C,$25.00M
Nirvanix,"Nirvanix is a provider of enterprise-class cloud storage services designed specifically for customers with expectations of extreme security, reliability and redundancy. Under its CloudComplete portfolio, Nirvanix offers fully managed public, hybrid and private cloud storage services with usage-based pricing. The company's second generation technology is utilized by IT OEMs and is fully integrated with third-party backup and archiving software products and appliances, enabling One Click to the Cloud.In September 2013, Nirvanix shut down notifiying users they needed to migrate their data to other providers within a few weeks.",Internet Software & Services,United States,$70.00M,1998,05/03/2012,Series C,$25.00M
DataCamp,"DataCamp is an online data science school that teaches core R programming and data science skills through video lessons and interactive coding challenges. With hands-on data analysis courses and R tutorials on Data Handling, Data Visualization, Reporting, Machine Learning, and Statistical Modeling, members get the hands-on experience they need to begin a real-life project.",Internet Software & Services,United States,$31.12M,2013,12/17/2018,Series A,$25.00M
Skuid,"Skuid is a no-code, design first, extensible cloud application development platform for rapidly creating and optimizing enterprise applications. The company's front-end design-and-deploy cloud platform allows customers to connect to disparate data sources, assemble highly complex, made-to-order applications and instantly make changes – all without writing code.",Internet Software & Services,United States,$35.62M,2013,03/13/2017,Series B,$25.00M
Predictix,"Predictix is a provider of cloud-native, predictive and prescriptive analytics solutions for retail. Predictix applications harness Big Data and advanced analytics to solve problems in merchandise planning, assortment, category management, forecasting, pricing, and supply chain optimization.",Internet Software & Services,United States,$40.00M,2005,01/18/2016,Corporate Minority,$25.00M
SunFunder,"SunFunder is solar finance business based in San Francisco and Tanzania that connects investors to high-impact solar projects that improve the lives of low-income communities in Africa, Asia and Latin America. The company raises and aggregates capital to finance solar projects from both non-accredited investors on their web platform SunFunder.com and directly from accredited and institutional investors through their Solar Empowerment Fund (SEF) note issuances. Its focus is on providing short-term, working capital and project finance loans for solar lighting, phone charging, micro-grids and commercial solar projects.",eCommerce,United States,$49.67M,2012,09/26/2018,Debt - IV,$25.00M
Nanit,"Nanit develops the Nanit Sleep System, a baby monitor and connected app that helps parents to track, monitor, and even improve their child's sleep.",Consumer Electronics,United States,$66.60M,2014,02/16/2021,Series C,$25.00M
Hopscotch,"Hopscotch is an online store for baby and kids' brands, including apparel, shoes, toys, books, and mom's maternity products.",eCommerce,India,$51.00M,2011,09/24/2020,Series D,$25.00M
MaestroQA,"MaestroQA, operated by Adtrib, helps customer care teams run their Quality Assurance programs to improve training and coach agents.",Internet Software & Services,United States,$31.50M,,09/29/2021,Series A,$25.00M
1upHealth,"1upHealth is a patient data aggregation platform for app developers, providers, and patients.",Application & Data Integration Software,United States,$35.49M,2017,04/29/2021,Series B,$25.00M
Cleancult,Cleancult provides home cleaning products that are natural and biodegradable.,eCommerce,United States,$38.10M,2016,09/28/2021,Series B,$25.00M
AppLearn,AppLearn provides software adoption solutions for enterprise organizations to help them adopt digital transformation.,Internet Software & Services,United Kingdom,$25.93M,2001,09/18/2019,Growth Equity,$25.00M
Honorlock,"Honorlock helps colleges and universities expand their online programs by offering a remote proctoring service for students. Honorlock records the exam session while allowing students to test at their convenience whenever and wherever. Afterward, its certified in-house proctoring staff will review all footage to ensure test integrity.",Internet Software & Services,United States,$39.25M,2014,04/27/2021,Series B,$25.00M
StashAway,"StashAway is a digital wealth manager that intelligently navigates macroeconomic data. The company personalizes financial planning and portfolio management for the vast range of needs of retail and accredited investors alike. Its proprietary investment strategy, ERAA (Economic Regime-based Asset Allocation), uses macroeconomic data to maintain each investors' personal risk preferences through any economic environment. ERAA's intelligent asset allocation approach minimizes risk and maximizes returns by reading thousands of data points to determine current and upcoming economic environments, navigating economic uncertainty, and seeking asset class valuation gaps.",Internet Software & Services,Singapore,$60.45M,2016,04/26/2021,Series D,$25.00M
Media.net,"Media.net is a global advertising technology company that develops products for both publishers and advertisers. It provides the full spectrum of advertising and traffic monetization solutions to its large, diversified client base worldwide, and has one of the most comprehensive ad tech portfolios in the industry.",Internet Software & Services,United States,$31.99M,2010,10/01/2000,Series B,$25.00M
BranchOut,"BranchOut, formerly MyRockstar, offers career networking applications for Facebook. BranchOut users leverage their Facebook friend network to find jobs, source sales leads, recruit talent, and strengthen relationships with professional contacts. The company's enterprise products help recruiters and hiring manager source talent more effectively. BranchOut's social job posts are easily shared on Facebook and Twitter, and display inside connections right in the job post. BranchOut's CareerConnect publishes job postings on a company's Facebook Page. BranchOut's RecruiterConnect product allows companies to search BranchOut's talent database and connect with candidates through real relationships.",Internet Software & Services,United States,$49.00M,,04/19/2012,Series C,$25.00M
HyperGrid,"HyperGrid empowers organizations with intelligence and automation to realize the full benefits of cloud technology.On Juliy 1st, 2020, HyperGrid merged with iQuate to create CloudSphere.",Internet Software & Services,United States,$84.48M,2016,09/12/2018,Series C,$25.00M
SourceMed,"SourceMed is a provider of ambulatory surgery center software and services. The company develops ASC business and clinical management solutions AdvantX, Vision, and SurgiSource®, and offers ASC advisory and revenue cycle services.",Internet Software & Services,United States,$41.00M,2000,10/12/2012,Debt,$25.00M
GiantBear,"GiantBear was a Internet/Internet Software & Services company based in White Plains, New York. GiantBear was acquired in 2001.",Internet Software & Services,United States,$34.00M,1999,12/06/2000,Series B,$25.00M
Vis.align,"Vis.align provides enterprise solutions, such as enterprise resource planning, application development and integration, application maintenance and support, business process, collaboration and portals, customer resource management services, and human resource connect solution.",IT Services,United States,$25.00M,1989,03/22/1999,Unattributed VC,$25.00M
DataRails,DataRails provides a solution that aims to bring sophisticated big business FP&A tools to SME CFOs. It aims to allow SMEs to adopt a cloud-based solution while using the familiar Excel and their existing models.,Internet Software & Services,Israel,$49.50M,2015,06/21/2021,Series A - II,$25.00M
Hot&Hot,"Spice Spirit (麻辣诱惑) is an on-demand food provider in China. The company operates Hot&Hot (热辣生活), a chain of restaurants that is also an online crawfish retailer. With its proprietary supply chain technology, it is currently transforming the traditional restaurant business into a consumer-centric online retail brand.",eCommerce,China,$46.53M,2010,06/12/2018,Series B - II,$24.99M
Composite Technology Corporation,"Composite Technology Corporation is a Electronics/Electronic Components company based in Irvine, California. Composite Technology Corporation's investors include Bodri Capital Management, Millennium Management, Whalehaven Capital, Rock Hill Investment Management, Chestnut Ridge Partners, SF Capital Partners, Ardsley Partners, Gruber & McBaine Capital Management, Third Point, Dynamis Advisors and Equity Group Investments.",Electronic Components,United States,$24.95M,1980,06/08/2007,Unattributed VC,$24.95M
Privia Health,"Privia Health (NASDAQ: PRVA) is a wellness company that partners with doctors to keep patients healthy and better manage conditions between office visits. With Privia, doctors gain access to web-based technology and a dedicated Privia wellness team (dietitian, fitness trainer, care manager, and health coach) - which serves as a virtual extension of the doctor's office, helping patients follow-up, implement, and adhere to physician's wellness and care recommendations.",Internet Software & Services,United States,$439.05M,2007,02/13/2019,Unattributed,$24.94M
Roboyo,"Roboyo is a global automation pure-play consulting company focused on bringing businesses into the Digital Era. Roboyo provides solutions for intelligent automation combining smart software, leveraging artificial intelligence and robotic process automation (RPA) to automate processes and enable the connected enterprise.",IT Services,Germany,$24.94M,2015,09/15/2020,Series A,$24.94M
Open-Xchange,"Open-Xchange develops, markets and sells web-based communication, collaboration and office productivity software, which enables full integration of email, documents, scheduling and social media.",Internet Software & Services,Germany,$67.90M,1996,10/11/2017,Series D,$24.90M
Fabrik,"Fabrik aims to enable consumers to efficiently manage their personal digital media. Its offerings are designed for video and photo enthusiasts, bloggers, social networkers, creative professionals and anyone else who revels in digital content, but feels that their growing mass of media can be overwhelming. Fabrik offers consumers and small businesses access to its applications through a licensed software model with leading OEMs or as an online subscription service. Through partnerships with key consumer electronics market leaders, such as Seagate Technology, Fabrik is working to bring a variety of in-home and online solutions to the marketplace. Acquired by Hitachi.",Internet Software & Services,United States,$43.30M,2005,05/10/2007,Series D,$24.90M
Wyz Group,Wyz Group is a provider of car tires. The company distributes car tires to the car industry in three countries and to leasing companies.,eCommerce,France,$30.50M,2009,07/05/2021,Unattributed,$24.84M
Soft Machines,"Soft Machines is a late-stage semiconductor startup with operations in the U.S., India and Russia. The company is in the business of licensing and co-developing VISC-architecture-based Core and SoC products for IoT, mobile and cloud markets. Corporate headquarters are in Santa Clara, California, USA with operations in India and Russia.",Chips & Semiconductors,United States,$110.68M,2006,06/12/2014,Series D - II,$24.80M
India World Technologies,"India World Technologies, dba IndiaHomes, is India's first professionally managed property transactions company, set up with sole objective of changing the way real estate is transacted. From simple and easy access to genuine information on its website, to enabling 400+ Property Experts by way of on-going training and technology, the company is constantly trying to provide a better experience for customers buying a new home.",Internet Software & Services,India,$40.80M,,04/16/2014,Series C,$24.80M
Enably,"Enably is an online lending platform targeting people with incomes of about $60,000 per annum. It offers fast and flexible loans ranging from $200 to $10,000. For loans under $2000, Enably calculates the monthly fee based on the customer's account balance.",Internet Software & Services,Australia,$24.80M,,11/22/2016,Unattributed,$24.80M
Japan Data Science Consortium,"Japan Data Science Consortium (JDSC) is an AI company that provides solutions for the medical, education and retail areas. As a professional consulting company, JDSC provides holistic support, from system construction to corporate process transformation to realize real profit impact by leveraging AI technology.","Scientific, Engineering Software",Japan,$28.96M,2013,10/19/2020,Series B,$24.80M
Datalot,"Datalot is a marketing technology company that builds user interaction tools to evaluate user intent and quality, along with the integration of real-time 3rd party and social media data.On June 29, 2021, Datalot was acquired by Centerfield. The terms of the transaction were not disclosed.",Internet Software & Services,United States,$24.80M,2009,10/03/2017,Private Equity,$24.80M
SOTI,"SOTI is a mobility and IoT management company. It enables clients' strategies for mobile devices, applications, content, as well as endpoints for the Internet of Things.l",IT Services,Canada,$24.78M,,05/16/2018,Grant,$24.78M
iJet Technologies,"iJet transforms traditional aviation business processes from a rigid, hardware-centric architecture to a flexible, software-defined infrastructure to facilitate data and analytics services which will lead to new markets in cross-functional and cross-enterprise data integration.",Internet Software & Services,United States,$24.72M,,10/06/2016,Unattributed,$24.72M
Assentive Solutions,"Assentive Solutions is a Internet/Internet Software & Services company based in San Francisco, California. Assentive Solutions' investors include Mentor Capital, Spinnaker Ventures, Sun Microsystems, Information Technology Ventures, TL Ventures, Globespan Capital Partners, SAICVentureCapital and J & W Seligman.",Internet Software & Services,United States,$49.10M,1998,08/14/2000,Unattributed VC,$24.70M
ChurnZero,"ChurnZero's platform allows companies to monitor and measure a customer's use of their software, identifying when customers are no longer using the service and deploying automated tools like email to help guide those customers back to the product.",Internet Software & Services,United States,$34.50M,2015,03/04/2021,Series B,$25.00M
Jedox,"Jedox unifies planning, reporting and analytics so business users can manage corporate performance. Jedox gives users straightforward self-service Business Intelligence (BI), empowering users to make faster decisions.",Internet Software & Services,Germany,$27.77M,2002,04/10/2018,Unattributed VC,$24.68M
Furong Group,"Furong Group provides comprehensive dealers with a full range of solutions including car sources, finance, insurance, and logistics.",eCommerce,China,$30.65M,2019,07/02/2021,Series A,$24.65M
iCarezz,"iCarezz has developed a membrane that enables online physical contact. Applications include gaming, entertainment, family, health care, hospitals and education.",Internet Software & Services,Netherlands,$24.63M,,07/29/2012,Angel,$24.63M
Veo Technologies,Veo is a camera mount that consists of two 4K cameras encased within a 3D-printed box. The company offers a solution for amateur soccer clubs that want to video and stream matches and training sessions without the need for a camera operator or vision mixer/editor.,Consumer Electronics,Denmark,$33.02M,2015,01/06/2021,Series B,$24.61M
E Color,"E Color is a Santa Cruz, California-based Software (non-internet/mobile) company.",,United States,$33.60M,,10/01/2000,Series B,$24.60M
E-Color,"E-Color is a Internet/Internet Software & Services company based in San Francisco, California. E-Color's investors include RVC, 2M Invest, Invus Group, FG II Ventures, Axiom Venture Partners and Enterprise Partners Venture Capital.",Internet Software & Services,United States,$33.60M,1993,10/20/2000,Series B,$24.60M
TransferMate,TransferMate is a platform for sending and receiving payments online. Using its online platform and global banking infrastructure eliminates the cost of sending international payments by completing transactions through its own local bank networks.,Internet Software & Services,Ireland,$59.89M,2010,07/30/2018,Corporate Minority - II,$24.59M
XMTP,"XMTP is building an open, crypto-native communication protocol that connects communities, applications, and users.",Internet Software & Services,United States,$24.59M,2021,09/02/2021,Series A,$24.59M
FarmLink,"FarmLink, formerly MachineryLink, offers a set of services to help farmers improve productivity and profitability. Farmlink operates the largest combine leasing fleet in the United States, under the MachineryLink brand, bringing farmers the opportunity to use the most modern technology to harvest crops at a lower cost than owning the machinery. Through its TrueHarvest yield benchmarking service, FarmLink brings to farmers the science of benchmarking, which both identifies the potential productivity of land as well as the ability to measure the success of any farming practice, including the promising new prescriptive farming services offered by many leading agricultural companies. Farmers and their advisors can access TrueHarvest yield benchmark services anywhere, anytime, allowing t...",Internet Software & Services,United States,$150.48M,2000,01/14/2016,Series C - II,$24.59M
Zone Labs,Zone Labs offers security products to make computer safer.,Security Software,United States,$38.50M,1997,05/13/2002,Series C,$24.50M
Element K,"Element K has offerings in e-learning content, virtual labs, ILT print materials and custom development services. In October 2011, Element K was acquired for $110 million by SkillSoft.",Internet Software & Services,United States,$42.50M,1982,03/14/2003,Series D,$24.50M
Bright Power,"Bright Power provides energy management and solar energy solutions that save building owners energy, money, and time. The company focuses on multifamily residential buildings, enabling them to reduce waste, improve cash flow, achieve energy law compliance, and make building occupants more comfortable.",Green/Environmental Software,United States,$33.00M,2004,07/27/2021,Series B,$24.50M
Matic,Matic is a technology-driven insurance agency focused on helping lenders and loan officers better integrate homeowner's insurance into the lending process.,eCommerce,United States,$31.50M,2014,10/15/2020,Series B,$24.50M
Epsor,Epsor is an HR tool allowing users to manage payroll and employee savings.,Internet Software & Services,France,$32.75M,2017,05/25/2021,Series B,$24.50M
Dialogue,"Dialogue is a virtual platform offering a range of integrated healthcare services for employers to give employees the opportunity to access on-demand to primary care, mental health therapy, and professional coaching.",Internet Software & Services,Canada,$67.23M,2016,07/29/2020,Corporate Minority,$24.50M
Curb Food,"Curb is a delivery-first dark kitchen provider, aggregating consumer offers from other restaurants under their own brand.",eCommerce,Sweden,$28.35M,2020,06/07/2021,Series A,$24.48M
Chengdu Mingkesi,Chengdu Mingkesi focuses on integrated circuit development.,Chips & Semiconductors,China,$24.47M,2008,09/24/2021,Corporate Minority,$24.47M
Thermondo,"Thermondo provides efficient heating products such as condensing boilers, solar and fuel cell heaters. The company also offers homeowners a complete package of services including consultation, preparation of proposals, applying for government subsidies, dismantling and disposal of old equipment, delivery, installation, maintenance and emergency.",Internet Software & Services,Germany,$57.05M,2012,08/10/2017,Series D,$24.45M
Sparxent,"Sparxent (www.sparxent.com) is the foremost provider of business and technology solutions designed exclusively for the mid market. Sparxent's portfolio of full-featured IT solutions, ""Best Practice"" consulting services, and software and hardware technologies enable companies to maximize the full value of their IT investment and ignite business growth. By combining global best-of-breed capabilities with hands-on local professionals, Sparxent is a single source for IT consulting, solutions and services.",IT Services,United States,$34.43M,2008,07/10/2009,Series B,$24.43M
Qwil,"Qwil is an automated global payments and liquidity solution that allows SMBs & freelancers to get paid how, when, and where ever they choose.",Internet Software & Services,United States,$229.53M,2015,12/11/2019,Series B,$24.40M
Escalate,"Escalate Retail aims to deliver a flexible, all-channel commerce software solution for consumer-focused businesses in North America, Europe and Asia. Escalate is headquartered in San Diego, with offices throughout North America and Europe. Escalates all-channel retail solutions include the Blue Martini Commerce Suite, the Ecometry Commerce Suite, and Enterprise1 for Big Ticket.Per the company, their customers include Kohls, J.Crew, Sephora, Saks, Urban Outfitters, and Brooks Brothers. Escalate is the sponsor of www.ArrestSalesKillers.org.In September 2004, the original Escalate was acquired by GERS. Escalate was at the time a provider of complete multi-channel commerce and fulfillment solutions for the retail industry. Escalate solutions aim to provide a seamless shopping experienc...",eCommerce,United States,$89.00M,1999,05/21/2002,Series D,$24.40M
InterCloud,InterCloud offers cloud users and corporate companies a fully secured and controlled quality of service of their access to any outsourced application platform. The InterCloud solution consists in implementing a private network infrastructure in order to meet the key concerns faced by cloud users.,IT Services,France,$41.20M,2010,12/10/2019,Series C,$24.38M
AdMaster Digital Consulting,"Admaster Digital Consulting is an independent third-party institution that provides digital marketing monitoring and research, adhering to fair and objective philosophy. The company provides a full range of result assessment solution through: digital media full process audit and optimization consulting, Cross Screen Reach evaluation, Weibo and social media evaluation, public opinion monitoring and online research.",Internet Software & Services,China,$24.37M,2006,12/16/2014,Series C,$24.37M
Miinto,"Miinto offers a web-based business dimension to brick-and-mortar clothing stores, giving them an international platform and a wider reach.",eCommerce,Denmark,$43.61M,2009,01/23/2021,Series D,$24.34M
Midway Games,"Midway Games is a Software (non-internet/mobile)/Gaming company based in Chicago, Illinois. Midway Games' investors include Deephaven Capital Management, S.A.C. Capital Management, Weiss Peck & Greer Investments, SF Capital Partners, Master Small Cap Value Trust, Merrill Lynch, Highbridge Capital Management, Downsview Capital, Columbia Ventures, Mainfield Enterprises and Ramius LLC.",Gaming,United States,$24.69M,1988,10/06/2003,Unattributed VC,$24.69M
MarkMonitor,"MarkMonitor is a provider in enterprise brand protection, offering solutions and services that safeguard brands, reputation and revenue from online risks. With end-to-end solutions that address the growing threats of online fraud, brand abuse and unauthorized channels, MarkMonitor enables a secure Internet for businesses and their customers. The company's exclusive access to data combined with its real-time prevention, detection and response capabilities provide wide-ranging protection to the ever-changing online risks faced by brands today.In July 2012, MarkMonitor was acquired by Thomson Reuters. The valuation of MarkMonitor was undisclosed. Other terms of the deal were not released.",Internet Software & Services,United States,$65.30M,1997,06/19/2008,Series E,$24.30M
Sentient,Sentient offers automotive software development and services. The company specializes in vehicle motion control and steering control software for the automotive industry.,"Scientific, Engineering Software",Sweden,$24.30M,2009,06/09/2021,Corporate Minority,$24.30M
Libeo,"Libeo streamlines payments between companies. The SaaS platform enables DAFs and accountants to instantly dematerialize their supplier invoices, centralize them and pay them directly from the platform without having to enter IBAN, The payment is made using a simple email.",Internet Software & Services,France,$30.63M,2018,02/11/2021,Series A,$24.28M
finn.auto,finn.auto provides a platform for auto subscriptions.,eCommerce,Germany,$34.04M,2019,12/07/2020,Series A,$24.28M
Balancer Labs,"Balancer is a non-custodial portfolio manager, liquidity provider, and price sensor. Balancer has created a protocol consisting of several different public and private liquidity pools.",Internet Software & Services,United States,$39.25M,2018,05/27/2021,Unattributed VC,$24.25M
Wine9,Wine9 is a China-based domestic vertical B2C website for imported wines.,eCommerce,China,$43.78M,2009,12/09/2014,Series C,$24.24M
Lunchclub,"Lunchclub connects individuals with like-minded professionals for 1:1 video meetings based on professional goals, interests, and background, all curated by AI.",Internet Software & Services,United States,$28.67M,2017,08/17/2020,Series A,$24.20M
Estrategia Concursos,Estrategia Concursos is a Brazilian edtech platform providing online courses.,Internet Software & Services,Brazil,$24.20M,2011,09/05/2019,Private Equity,$24.20M
Qiva,"Qiva was a Internet/Internet Software & Services company based in San Francisco, California. Qiva was acquired in 2003.",Internet Software & Services,United States,$46.00M,1989,06/14/2002,Series C,$24.20M
Zhuojian Technology,"Zhuojian Technology develops and provides healthcare and IoT products and services for healthcare institutions in projects, operations, management, big data, and other areas.",Internet Software & Services,China,$30.59M,2011,06/04/2015,Series B,$24.19M
Quatris Healthco,"Quatris Health provides software and database solutions for medical practices, as well as the training and support needed to maximize the benefit of a physician practice's technology investment. Quatris Health is a partner for physician practices, providing clinicians, administrators and office staff software support and services. The company also provides hosting services, enabling physician practices to manage their data though the company's cloud services.",Healthcare Software,United States,$24.19M,2013,09/01/2016,Private Equity,$24.19M
Bookatable,"Bookatable provides a web-based restaurant reservations and marketing service. The company provides tools for restaurants to take online bookings from other websites, build a customer database, run email marketing campaigns and special offers and operate a web-based electronic reservations book.On December 3, 2019 Bookatable was acquired by TheFork. The terms of the transaction were not disclosed.",Internet Software & Services,United Kingdom,$50.11M,2005,05/14/2012,Series C,$24.11M
Centennial Security,"Centennial Security is a Madison, New Jersey-based Electronics company.",,United States,$42.20M,,01/01/1997,Series C - II,$24.10M
Koreacenter.com,"Koreacenter.com is an operator of e-commerce platforms, with subsidiaries including MakeShop, an e-commerce integration solution; Malltail, an online shipping service; and Taillist, which offers online open markets and product sourcing services. Other subsidiaries include MakeGlob, OKDGG, Caravantail, and Shopinside.",eCommerce,South Korea,$24.08M,,02/06/2018,Unattributed VC,$24.08M
Alluxio,"Alluxio is an open source data orchestration layer for analytics and machine learning in any cloud that brings data close to compute for big data and AI/ML workloads in the cloud. It is based in San Mateo, California.",IT Services,United States,$24.08M,2015,06/15/2021,Unattributed,$24.08M
Materialise Dental,Provider of planning and simulation software for dental surgery. The company provides 3-D implantology software and it specializes in computer guided implant dentistry.,Healthcare Software,Belgium,$24.04M,,07/31/2006,Corporate Minority,$24.04M
Défimode,"Défimode is a French clothing retailer that focuses on providing affordable, high quality products for the whole family.Founded by twin brothers Dominique and Bernard Montel in 1981, Défimode now has 125 stores across France, all of which are fully owned and run by Défimode. The average outlet is around 1,000 sq metres in size.The company operates stores on the edge of small towns with between 6,000 and 60,000 inhabitants, where the larger chain stores, such as Gémo and Kiabi, are largely absent. A strategy of promoting shopping centres in partnership with shoe, toy and homeware brands has helped Défimode’s rapid growth over recent years.Défimode, which is headquartered in Brioude, Haute Loire, started its expansion phase in 1987. It now employs more than 650 people and is expected ...",,France,$24.04M,,02/23/2006,Private Equity,$24.04M
Glasswall Solutions,"Glasswall Solutions is a London, UK-based file regeneration technology company. Glasswall Solutions has developed a patent-protected Deep-File Inspection, Remediation and Sanitisation Technology – d-FIRST™ – a methodology for the prevention of malware and understanding of organizational risk from file-borne cyber-attacks. The forensic data that Glasswall provides delivers an insight into threats already within networks and through its Glasswall FileTrust™ ATP for Email security platform and SDK, provides insight into unknown and as yet undetected cyber threats.",Security Software,United Kingdom,$43.67M,2005,11/30/2020,Corporate Minority - II,$24.02M
MATCHi,"MATCHi offers an online platform that connects racket sports facilities and players to each other while managing facilities reservations, payments and access control.",Internet Software & Services,Sweden,$24.05M,2012,06/14/2021,Private Equity,$24.02M
SoloLearn,SoloLearn is a global developer community aimed at making people better coders through peer-to-peer knowledge sharing.,Internet Software & Services,United States,$30.90M,2013,07/21/2021,Series B,$24.00M
MyStrands,MyStrands offers a personalized recommendation service,Internet Software & Services,United States,$49.00M,,12/17/2007,Series B - II,$24.00M
Entellium,"Founded in 2000, Entellium is a software company that develops on-demand Customer Relationship Management (CRM) applications for small and midsize businesses as well as for enterprise departments.",Customer Relationship Management Software,United States,$28.00M,2006,06/18/2007,Series B,$24.00M
Exterprise,"Exterprise aims to provide enabling software for launching and managing eMarkets composed of trading partner networks sharing processes, revenues, and costs to dynamically promote, sell, and support complementary products and services. Exterprise aims to help companies manage these markets by allowing them to collaborate with one another to serve their mutual customers, but without endangering their core businesses. Exterprise was acquired by Commerce One (NASDAQ: CMRC) in May 2001.",,United States,$32.00M,,08/11/2000,Series C,$24.00M
Linxo,"Linxo provides consumers with a platform to analyze, manage and optimize their financial assets. It allows them to budget, compare, and evaluate their personal assets to make better decisions, save money and use assets better in a single centralized interface.",Internet Software & Services,France,$26.18M,2010,09/07/2017,Series B,$24.00M
Orbis Education,"Orbis Education creates, markets, and manages collaborative nursing education solutions that alleviate nursing shortages for hospitals and healthcare systems. The company leverages alliances with nursing schools to provide flexible, customized, baccalaureate level programs. Orbis powers the growth of online programs by facilitating operations, management, student recruitment and the technology behind the program.",Internet Software & Services,United States,$37.82M,2003,09/12/2012,Private Equity,$24.33M
MarkMonitor,"MarkMonitor is a provider in enterprise brand protection, offering solutions and services that safeguard brands, reputation and revenue from online risks. With end-to-end solutions that address the growing threats of online fraud, brand abuse and unauthorized channels, MarkMonitor enables a secure Internet for businesses and their customers. The company's exclusive access to data combined with its real-time prevention, detection and response capabilities provide wide-ranging protection to the ever-changing online risks faced by brands today.In July 2012, MarkMonitor was acquired by Thomson Reuters. The valuation of MarkMonitor was undisclosed. Other terms of the deal were not released.",Internet Software & Services,United States,$65.30M,2009,05/31/2011,Series B,$24.00M
SupportSoft,SupportSoft offers service and support automation software,Conferencing & Communication Software,United States,$44.48M,1997,10/05/1999,Unattributed VC - III,$24.00M
Simba,Simba is an online mattress retailer. The company manufactures hybrid memory foam mattresses and ships them in vacuum compressed boxes.,eCommerce,United Kingdom,$94.51M,2015,01/03/2020,Private Equity,$24.00M
Seebo,"Seebo develops process-based AI solutions, enabling manufacturers to predict & prevent losses in production yield and quality.",Internet Software & Services,Israel,$49.53M,2012,03/04/2021,Series B - II,$24.00M
Korbyt,"Korbyt is a workplace experience platform. It allows users to publish once and reach everyone in the workplace with personalized content or data on any screen, anywhere.",Internet Software & Services,United States,$32.50M,1990,05/08/2013,Line of Credit,$24.00M
BlackHog.com,"BlackHog.com is a Internet/Internet Software & Services company based in Sunnyvale, California. BlackHog.com has received investment from Accel Partners.",Internet Software & Services,United States,$30.00M,,10/24/2000,Series B,$24.00M
Iwode Tailor,"Iwode Tailor is an online and offline platform providing custom clothing for men. The company provides services in Guangzhou and Shenzhen, and operates over 30 offline stores mostly in Southern China.",eCommerce,China,$24.00M,,06/05/2015,Series B,$24.00M
Powerside,"Powerside delivers an integrated range of power monitoring, analysis, PQube 3 power analyzers, low and medium voltage correction banks, and power quality services. Powerside serves companies in the power and energy, data center, transportation, medical, semiconductor, telecom, manufacturing, military, and government.","Electronic test, measurement & monitoring",Canada,$34.00M,,07/24/2017,Series A - II,$24.00M
Apprentice.io,"Apprentice delivers an intelligent manufacturing execution system built to help teams scale faster from COVID to cancer. From small/large molecule to cell & gene therapy, the company's cloud-based system leverages AI, AR and Pharma 4.0 to increase speed to market. It allows users to run intelligent batch campaigns make existing procedures smart, optimize their supply chain, perform predictive consumables management, smart equipment tracking and preventive maintenance scheduling, and elevate their teams' potential using language-independent collaboration tools in or out of the lab and suite.",Healthcare Software,United States,$42.00M,2014,11/19/2020,Series B,$24.00M
Insync Systems,Insync Systems was a Electronics/Electronic Manufacturing Services company. Insync Systems was acquired in 1998.,Electronic Manufacturing Services,United States,$24.00M,,01/01/1996,Series B,$24.00M
VectorLearning,"VectorLearning is the developer of RedVector and Care2Learn, providing online continuing education (CE) and professional development training for professionals. RedVector is an online education provider to the engineering, architectural, and construction (AEC) industry, while Care2Learn is an online education for the long-term healthcare (LTHC) industry.Stonehenge Growth Equity invested in VectorLearning and exited the investment in October 2011 to LLR Partners who took a stake in the company.",Internet Software & Services,United States,$24.00M,,08/18/2011,Growth Equity - III,$24.00M
Enjoy Learning,"Enjoy Learning is a marketplace for private tutors, aimed at parents with kids of any age.",Internet Software & Services,China,$24.00M,,01/02/2015,Series B,$24.00M
Picus Security,"Picus Security has developed a holistic approach to IT security: Continuous Security Validation. Independent from any vendor or technology, Picus Platform is designed to continuously measure the effectiveness of security defenses by using emerging threat samples in production environments.",Internet Software & Services,United States,$31.00M,2013,10/20/2021,Series B,$24.00M
